Object_ID,Filename,Class_Label,Image_Type,Environment,Lighting,Preprocessing
IMG000001,Image_2_jpg.rf.2dc375b802da8bea9fbd1c19b453790a.jpg,Acemiz,Raw,Indoor,LED,None
IMG000002,Image_2_jpg.rf.500efca19b58ad6aa98e06208c60edad.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000003,Image_2_jpg.rf.ab3068eac859ae88ff9bdafef5eabdff.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000004,Image_5_jpg.rf.83311897bde4a7e0634337f9cbf66951.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000005,Image_5_jpg.rf.a48b3c75728e66a45c3e001e3c5fc69a.jpg,Acemiz,Raw,Indoor,LED,None
IMG000006,Image_5_jpg.rf.fecb2c31eef77199e7a4d7f8fa18ff50.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000007,Image_6_jpg.rf.56af409fc0818c163aa34da79df69473.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000008,Image_6_jpg.rf.978a7711114aaac7b8f045312f5dce39.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000009,Image_6_jpg.rf.e155a1a81bcb7a1d6cb60c2481e10fe7.jpg,Acemiz,Raw,Indoor,LED,None
IMG000010,IMG-20251108-WA0370_jpg.rf.8b7b422e68803cee641aa3ee3afc0ca3.jpg,Acemiz,Raw,Indoor,LED,None
IMG000011,IMG-20251108-WA0370_jpg.rf.d68cfb1313d860e53d625fb84d04e145.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000012,IMG-20251108-WA0370_jpg.rf.d7da634456dc4cc413ca468e0de4bb11.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000013,IMG-20251108-WA0372_jpg.rf.2ca2a5fd2964e1d4c0307a8c3f445bae.jpg,Acemiz,Raw,Indoor,LED,None
IMG000014,IMG-20251108-WA0372_jpg.rf.6dd214f34e421f3c7928e39fb9ed70e2.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000015,IMG-20251108-WA0372_jpg.rf.71507ac4e153e695ec110065a8a8a17e.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000016,IMG-20251108-WA0373_jpg.rf.261f2bb985d2c4813ba9c2faa92493e8.jpg,Acemiz,Raw,Indoor,LED,None
IMG000017,IMG-20251108-WA0373_jpg.rf.3a907aa2b818ff5b28acff62d9f90ca6.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000018,IMG-20251108-WA0373_jpg.rf.817a2f7edba5ca393bf15b764b2a821b.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000019,IMG-20251108-WA0374_jpg.rf.046af5e8c6a47b52e213ae541caa2971.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000020,IMG-20251108-WA0374_jpg.rf.4a2d7bebb36f78a226e574b9128c1f98.jpg,Acemiz,Raw,Indoor,LED,None
IMG000021,IMG-20251108-WA0374_jpg.rf.6be0f0c5500bbc3ad662c5e2d711ddbc.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000022,IMG-20251108-WA0375_jpg.rf.1822b90e5e330fd634bc9588a1c7fe2c.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000023,IMG-20251108-WA0375_jpg.rf.bf1e50f72752083fff73f85aaf6fd432.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000024,IMG-20251108-WA0375_jpg.rf.c74b421bfaf277f59aa9111cb99d3205.jpg,Acemiz,Raw,Indoor,LED,None
IMG000025,IMG-20251108-WA0377_jpg.rf.4122b43ee56806e7a8827bf4e465efa7.jpg,Acemiz,Raw,Indoor,LED,None
IMG000026,IMG-20251108-WA0377_jpg.rf.6d228145869e7645cff2538cc3171962.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000027,IMG-20251108-WA0377_jpg.rf.897ae27859845034862c0cf0715d4a87.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000028,IMG-20251108-WA0378_jpg.rf.2b0230bb90a0ee18be13ed767aec09ba.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000029,IMG-20251108-WA0378_jpg.rf.463c1d46ed62520065d98f2b23e94909.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000030,IMG-20251108-WA0378_jpg.rf.649276787f25da869cbf3d508c143eee.jpg,Acemiz,Raw,Indoor,LED,None
IMG000031,IMG-20251108-WA0380_jpg.rf.94392d65764b0d584c6716103c9f09cd.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000032,IMG-20251108-WA0380_jpg.rf.9b5f42fa70bf347ebc6d485d540c1e48.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000033,IMG-20251108-WA0380_jpg.rf.b9f9782d4380e31abb696cf323926dfa.jpg,Acemiz,Raw,Indoor,LED,None
IMG000034,IMG-20251108-WA0382_jpg.rf.2f45fe745e413a205a9807b0376c597e.jpg,Acemiz,Augmented,Indoor,LED,None
IMG000035,IMG-20251108-WA0382_jpg.rf.42495141b7ba3472a639b01712f64f8f.jpg,Acemiz,Raw,Indoor,LED,None
