MedicineName,Quantity
Acemiz,81
Allegra,14
Alprax 0-25,3
Amalong,94
Atarax,35
Becozinc,31
Bifilac,28
Canitiz,17
Cetzine,94
Ciplar 10,13
Cofsils,86
Cranmed,94
Cyclopam,69
D-Rise,11
D-Well,75
D3 More 2K,54
Dolo-650,4
Eldoper,3
Emeset,11
Etoshine 90,27
Etoshine MR,29
Folvite,64
Gelusil,77
Gestorab,3
GlimiSave M 0-5,71
Gluxit10,25
M-Strong,91
Meftal 250 DT,83
Melecobalamine,89
Menoease,69
Metronidazole,53
Montair,28
Muvera,57
Mysopas,75
P-650,35
Pacimol650,0
Pan 20,97
Pan-D,20
Paracip-650,89
Redotil,54
Shelcal 500,43
Sibelium 10mg,35
Sompraz,19
Strepsils,27
Tayo60k,97
Tendonease,43
Udapa-Trio,13
Unienzyme,11
Velgut,48
Vitamin E,12
Vomikind,45
Zincovit,44
Zofer,77
